resid,leaflet,X coords,Y coords,Z coords,Thickness
72,lower leaflet,6.110,5.290,5.150,3.802
192,lower leaflet,4.780,4.070,3.700,3.210
193,lower leaflet,3.140,4.260,2.940,3.345
194,lower leaflet,5.380,3.730,3.110,4.123
195,lower leaflet,5.070,4.870,4.820,3.563
196,lower leaflet,6.430,4.860,2.810,3.971
197,lower leaflet,4.350,4.730,3.110,3.608
198,lower leaflet,5.460,2.910,2.770,3.667
199,lower leaflet,4.140,3.600,2.410,3.316
200,lower leaflet,4.380,5.270,3.070,3.774
201,lower leaflet,2.500,4.730,2.710,3.456
202,lower leaflet,6.460,3.620,3.520,3.977
203,lower leaflet,4.840,1.430,2.870,3.900
204,lower leaflet,7.100,4.420,3.760,3.866
205,lower leaflet,3.440,5.720,2.860,3.400
206,lower leaflet,4.560,2.740,2.820,3.836
207,lower leaflet,5.980,5.730,3.310,3.750
208,lower leaflet,6.300,4.050,3.120,3.951
209,lower leaflet,4.840,5.970,3.280,4.051
210,lower leaflet,3.560,5.070,2.610,3.514
211,lower leaflet,3.440,2.790,3.140,3.732
212,lower leaflet,1.300,4.300,2.940,3.968
213,lower leaflet,2.340,4.010,2.600,3.699
214,lower leaflet,6.090,3.460,3.110,3.818
215,lower leaflet,5.720,6.290,2.860,4.014
216,lower leaflet,5.390,6.590,3.260,4.029
217,lower leaflet,2.930,4.710,3.150,3.571
218,lower leaflet,5.590,4.190,2.980,3.814
219,lower leaflet,6.820,4.900,3.090,3.838
220,lower leaflet,5.220,2.050,3.340,3.629
221,lower leaflet,4.260,6.260,2.840,4.197
222,lower leaflet,8.040,5.050,3.000,3.585
223,lower leaflet,4.180,5.500,3.480,4.135
224,lower leaflet,4.000,1.920,2.910,4.208
225,lower leaflet,2.230,2.480,2.600,3.528
226,lower leaflet,6.350,3.000,2.940,3.779
227,lower leaflet,5.830,5.230,3.160,3.881
228,lower leaflet,3.920,5.070,3.440,3.599
229,lower leaflet,5.140,6.280,2.600,4.094
230,lower leaflet,4.900,2.300,2.940,3.613
