resid,leaflet,X coords,Y coords,Z coords,Thickness
192,lower leaflet,4.390,4.280,3.590,3.319
193,lower leaflet,3.480,4.660,3.020,3.491
194,lower leaflet,5.430,3.120,2.670,3.852
195,lower leaflet,5.060,5.320,3.930,3.767
196,lower leaflet,6.160,4.740,3.160,3.785
197,lower leaflet,4.490,5.130,3.140,3.689
198,lower leaflet,4.630,3.760,2.720,3.386
199,lower leaflet,4.280,4.030,2.540,3.515
200,lower leaflet,4.600,5.650,2.910,3.942
201,lower leaflet,1.760,4.030,2.800,3.467
202,lower leaflet,6.190,3.420,3.360,3.454
203,lower leaflet,4.800,2.580,2.680,4.171
204,lower leaflet,6.580,4.860,3.460,3.930
205,lower leaflet,3.810,5.620,2.870,3.761
206,lower leaflet,2.710,2.920,2.340,4.120
207,lower leaflet,5.620,5.830,3.450,3.861
208,lower leaflet,7.070,4.610,2.680,3.970
209,lower leaflet,4.170,6.490,3.180,3.836
210,lower leaflet,2.960,5.200,2.520,3.881
211,lower leaflet,3.670,2.790,3.020,3.915
212,lower leaflet,1.000,3.490,3.320,3.657
213,lower leaflet,2.960,4.380,2.680,3.650
214,lower leaflet,5.850,2.890,2.520,3.850
215,lower leaflet,5.550,6.420,2.940,4.310
216,lower leaflet,4.950,7.030,3.420,4.073
217,lower leaflet,2.890,4.610,3.230,3.721
218,lower leaflet,5.930,3.750,2.950,3.708
219,lower leaflet,6.150,4.960,3.640,4.189
220,lower leaflet,5.850,2.200,3.650,3.893
221,lower leaflet,3.780,6.210,2.790,3.881
222,lower leaflet,6.580,5.740,3.720,4.173
223,lower leaflet,4.230,5.480,3.630,3.715
224,lower leaflet,3.500,2.660,2.470,3.778
225,lower leaflet,2.120,2.390,2.680,4.057
226,lower leaflet,6.440,3.970,3.050,3.771
227,lower leaflet,5.360,4.730,3.340,3.963
228,lower leaflet,3.170,5.030,3.300,3.780
229,lower leaflet,3.760,6.740,2.860,3.874
230,lower leaflet,4.190,3.130,2.280,3.773
231,lower leaflet,1.170,2.400,2.540,3.869
232,lower leaflet,1.320,4.410,3.270,3.581
233,lower leaflet,7.670,3.430,3.620,3.366
234,lower leaflet,6.140,7.800,3.390,3.879
235,lower leaflet,6.820,2.730,3.330,3.473
236,lower leaflet,1.850,1.920,2.710,4.119
237,lower leaflet,1.680,5.250,2.940,3.719
238,lower leaflet,5.370,6.910,3.020,4.183
239,lower leaflet,4.800,8.020,2.990,3.656
240,lower leaflet,7.310,3.480,3.160,3.393
241,lower leaflet,7.270,5.970,3.410,4.030
242,lower leaflet,2.930,6.220,2.820,4.038
243,lower leaflet,6.730,5.450,2.970,4.119
244,lower leaflet,2.580,5.740,2.600,4.028
245,lower leaflet,3.310,1.180,2.750,3.837
246,lower leaflet,6.010,1.700,2.920,3.758
247,lower leaflet,5.820,5.480,3.120,4.074
248,lower leaflet,3.070,7.360,2.820,3.895
249,lower leaflet,6.230,0.840,2.940,3.916
250,lower leaflet,0.610,5.710,2.960,3.716
251,lower leaflet,2.900,1.960,2.540,3.894
252,lower leaflet,7.380,3.860,2.790,3.678
253,lower leaflet,6.030,5.900,3.150,4.257
254,lower leaflet,4.570,7.640,2.730,3.797
255,lower leaflet,1.480,3.130,2.770,3.695
256,lower leaflet,6.510,0.640,3.450,3.873
257,lower leaflet,2.380,3.470,2.570,3.586
258,lower leaflet,7.440,2.600,2.740,3.342
259,lower leaflet,1.280,2.170,2.970,3.891
260,lower leaflet,6.100,7.860,2.910,3.869
261,lower leaflet,8.800,2.510,3.430,3.735
262,lower leaflet,5.750,8.610,2.900,4.095
263,lower leaflet,6.530,2.390,2.970,3.545
264,lower leaflet,2.190,1.450,3.150,4.083
265,lower leaflet,7.840,5.800,2.780,3.920
266,lower leaflet,0.530,4.690,2.960,3.742
267,lower leaflet,2.250,4.870,2.670,3.621
268,lower leaflet,6.690,8.902,2.800,3.862
269,lower leaflet,7.870,2.680,3.050,3.626
270,lower leaflet,5.290,8.160,2.860,3.869
271,lower leaflet,7.020,6.490,3.030,4.246
272,lower leaflet,2.290,7.550,2.730,3.702
273,lower leaflet,4.810,1.420,2.870,3.823
274,lower leaflet,8.270,5.210,2.540,3.947
275,lower leaflet,1.100,5.980,2.770,3.812
276,lower leaflet,2.360,1.240,2.540,3.990
277,lower leaflet,7.730,6.480,2.560,3.974
278,lower leaflet,6.720,1.400,3.190,3.927
279,lower leaflet,3.640,8.310,3.010,3.974
280,lower leaflet,4.340,1.050,2.370,3.937
281,lower leaflet,0.610,6.700,2.760,3.962
282,lower leaflet,2.830,0.280,2.710,3.909
283,lower leaflet,7.560,4.980,2.700,4.049
284,lower leaflet,6.640,6.670,3.660,4.115
285,lower leaflet,1.010,2.680,3.290,3.811
286,lower leaflet,0.440,3.700,2.770,3.737
287,lower leaflet,4.930,8.960,2.750,3.664
288,lower leaflet,7.780,2.350,3.500,3.657
289,lower leaflet,8.520,1.600,3.300,3.512
290,lower leaflet,5.200,1.370,3.170,3.940
291,lower leaflet,0.910,4.370,2.850,3.555
292,lower leaflet,5.690,2.340,2.810,3.901
293,lower leaflet,0.650,1.950,2.660,4.012
294,lower leaflet,5.950,0.210,2.820,4.118
295,lower leaflet,8.440,2.690,2.730,3.679
296,lower leaflet,5.520,8.660,3.400,4.112
297,lower leaflet,7.300,1.930,2.810,3.593
298,lower leaflet,1.930,7.710,3.080,3.704
299,lower leaflet,1.630,6.710,2.710,3.736
300,lower leaflet,8.590,5.970,2.740,3.544
301,lower leaflet,8.500,6.830,2.480,3.669
302,lower leaflet,0.200,6.160,2.970,3.861
303,lower leaflet,7.830,7.460,2.560,3.825
304,lower leaflet,2.370,6.660,2.430,3.846
305,lower leaflet,3.980,0.038,2.660,3.413
306,lower leaflet,2.520,0.550,3.080,3.894
307,lower leaflet,4.410,9.102,3.320,3.691
308,lower leaflet,1.060,6.940,3.150,3.924
309,lower leaflet,7.420,9.080,2.720,3.893
310,lower leaflet,0.110,4.540,2.740,3.764
311,lower leaflet,0.060,5.250,2.510,3.723
312,lower leaflet,3.150,0.230,3.100,3.877
313,lower leaflet,6.950,0.450,2.900,3.947
314,lower leaflet,3.720,0.410,2.840,3.835
315,lower leaflet,6.290,7.190,3.170,3.990
316,lower leaflet,4.370,8.632,2.630,3.668
317,lower leaflet,4.550,0.570,3.290,3.634
318,lower leaflet,8.960,1.560,3.140,3.734
319,lower leaflet,8.760,3.690,2.810,3.799
320,lower leaflet,9.090,6.240,3.250,4.019
321,lower leaflet,8.250,3.590,2.900,3.842
322,lower leaflet,0.440,2.880,2.720,3.561
323,lower leaflet,0.420,1.290,2.290,3.656
324,lower leaflet,8.150,1.890,2.920,3.513
325,lower leaflet,1.140,5.900,3.280,3.694
326,lower leaflet,3.520,8.450,3.460,4.050
327,lower leaflet,2.700,8.130,3.610,3.732
328,lower leaflet,6.990,7.550,2.630,3.778
329,lower leaflet,5.580,0.510,2.710,4.074
330,lower leaflet,1.440,0.370,3.010,3.900
331,lower leaflet,7.130,8.780,3.470,3.866
332,lower leaflet,9.030,6.660,2.360,3.796
333,lower leaflet,1.540,8.370,2.660,3.839
334,lower leaflet,1.080,7.470,2.890,3.326
335,lower leaflet,7.610,0.980,3.490,3.878
336,lower leaflet,2.080,8.490,2.770,3.717
337,lower leaflet,0.140,7.650,2.450,3.857
338,lower leaflet,3.130,8.310,2.870,4.061
339,lower leaflet,7.230,8.350,2.880,4.041
340,lower leaflet,1.760,1.140,2.480,3.894
341,lower leaflet,8.200,9.122,3.040,3.946
342,lower leaflet,8.550,7.790,2.510,4.025
343,lower leaflet,2.920,8.560,3.210,3.829
344,lower leaflet,8.620,1.130,3.120,3.540
345,lower leaflet,1.030,1.160,2.960,3.712
