resid,leaflet,X coords,Y coords,Z coords,Area per lipid
104,lower leaflet,14.010,12.780,3.470,0.288
826,lower leaflet,20.230,1.020,3.310,0.417
1001,lower leaflet,10.900,12.870,2.770,0.617
1002,lower leaflet,8.790,12.270,3.710,0.466
1003,lower leaflet,11.240,15.370,2.870,0.671
1004,lower leaflet,11.840,13.380,2.800,0.581
1005,lower leaflet,11.570,10.770,2.320,0.811
1006,lower leaflet,9.830,13.200,3.080,0.402
1007,lower leaflet,9.130,12.690,3.060,0.501
1008,lower leaflet,11.870,14.310,2.840,0.834
1009,lower leaflet,9.880,12.490,2.420,0.514
1010,lower leaflet,10.930,11.820,2.400,0.747
1011,lower leaflet,9.950,14.260,3.380,0.678
1012,lower leaflet,9.570,9.790,2.720,0.858
1013,lower leaflet,12.170,11.980,2.760,0.713
1014,lower leaflet,13.240,9.980,2.690,0.793
1015,lower leaflet,9.870,10.840,3.150,0.731
1016,lower leaflet,9.010,10.860,2.660,0.658
1017,lower leaflet,13.430,11.220,2.300,0.828
1018,lower leaflet,12.760,9.370,2.510,0.671
1019,lower leaflet,11.690,11.920,2.760,0.673
1020,lower leaflet,8.870,17.330,2.830,0.534
1021,lower leaflet,12.990,14.600,2.880,0.703
1022,lower leaflet,10.320,13.500,3.090,0.585
1023,lower leaflet,11.290,13.460,2.970,0.587
1024,lower leaflet,11.940,12.840,2.840,0.609
1026,lower leaflet,15.500,11.500,2.840,0.663
1027,lower leaflet,16.400,10.900,3.170,0.343
1028,lower leaflet,10.980,10.250,2.670,0.772
1029,lower leaflet,13.970,10.960,2.360,0.668
1030,lower leaflet,9.890,15.120,3.150,0.728
1031,lower leaflet,13.410,6.230,3.000,0.655
1032,lower leaflet,12.330,9.930,2.950,0.761
1033,lower leaflet,10.500,12.530,2.750,0.629
1034,lower leaflet,8.210,14.720,2.900,0.701
1035,lower leaflet,14.260,10.320,2.220,0.714
1036,lower leaflet,13.990,9.560,2.670,0.692
1037,lower leaflet,10.520,10.450,3.140,0.828
1038,lower leaflet,9.070,13.700,3.190,0.560
1039,lower leaflet,12.130,15.040,3.130,0.873
1040,lower leaflet,10.870,15.070,2.900,0.694
1041,lower leaflet,10.940,14.200,3.080,0.770
1042,lower leaflet,12.630,12.760,2.770,0.582
1043,lower leaflet,8.140,11.630,2.910,0.587
1045,lower leaflet,13.230,13.850,3.280,0.700
1046,lower leaflet,14.800,10.930,2.630,0.698
1047,lower leaflet,14.660,17.670,2.470,0.739
1049,lower leaflet,9.370,12.200,2.960,0.543
1050,lower leaflet,13.790,13.360,2.900,0.586
1051,lower leaflet,17.460,10.070,2.290,0.681
1052,lower leaflet,11.810,9.330,2.940,0.634
1053,lower leaflet,11.960,9.520,3.550,0.405
1054,lower leaflet,15.640,8.210,2.640,0.595
1055,lower leaflet,11.040,17.360,2.850,0.606
1056,lower leaflet,13.900,15.360,2.790,0.805
1057,lower leaflet,9.800,11.490,2.840,0.697
1058,lower leaflet,10.880,9.350,2.770,0.832
1059,lower leaflet,13.530,12.320,2.580,0.670
1060,lower leaflet,15.320,9.800,2.610,0.758
1061,lower leaflet,13.030,15.260,2.870,0.750
1062,lower leaflet,9.600,18.300,3.170,0.786
1063,lower leaflet,8.420,15.480,3.220,0.679
1064,lower leaflet,10.190,8.090,2.730,0.589
1066,lower leaflet,12.420,12.800,3.310,0.258
1067,lower leaflet,12.750,13.170,3.020,0.660
1068,lower leaflet,8.630,17.970,2.720,0.672
1069,lower leaflet,10.000,8.940,2.740,0.784
1070,lower leaflet,9.980,16.390,2.920,0.676
1071,lower leaflet,16.180,9.550,2.440,0.752
1072,lower leaflet,8.940,9.450,2.890,0.722
1073,lower leaflet,15.980,13.460,2.880,0.506
1074,lower leaflet,9.470,16.650,3.190,0.717
1075,lower leaflet,14.480,9.460,2.830,0.641
1076,lower leaflet,14.320,13.350,2.870,0.688
1078,lower leaflet,12.080,7.480,2.860,0.501
1079,lower leaflet,15.130,12.200,2.720,0.727
1080,lower leaflet,15.060,8.850,3.050,0.604
1081,lower leaflet,11.460,8.620,2.680,0.571
1082,lower leaflet,8.960,6.230,2.630,0.736
1083,lower leaflet,14.230,7.360,3.020,0.721
1084,lower leaflet,11.950,17.350,2.670,0.588
1085,lower leaflet,10.020,4.120,2.780,0.669
1086,lower leaflet,8.850,10.530,3.060,0.688
1087,lower leaflet,14.420,15.180,3.020,0.626
1088,lower leaflet,9.220,14.810,2.920,0.608
1089,lower leaflet,15.810,10.640,2.730,0.724
1090,lower leaflet,13.160,15.930,2.780,0.765
1091,lower leaflet,12.290,11.230,2.540,0.868
1092,lower leaflet,7.480,19.470,2.840,0.552
1093,lower leaflet,7.980,12.090,3.090,0.525
1094,lower leaflet,14.320,12.290,2.930,0.586
1095,lower leaflet,8.750,13.040,3.100,0.495
1096,lower leaflet,13.520,16.650,2.420,0.992
1097,lower leaflet,15.260,13.730,3.010,0.698
1098,lower leaflet,9.310,7.820,2.660,0.682
1099,lower leaflet,15.640,13.020,2.740,0.584
1100,lower leaflet,6.130,11.180,2.730,0.650
1101,lower leaflet,11.180,7.830,2.750,0.638
1102,lower leaflet,18.610,7.880,2.140,0.687
1103,lower leaflet,17.550,10.650,2.130,0.807
1104,lower leaflet,10.570,15.930,2.940,0.726
1105,lower leaflet,9.830,7.450,2.650,0.700
1106,lower leaflet,9.190,15.680,3.140,0.714
1107,lower leaflet,14.570,8.650,2.970,0.417
1108,lower leaflet,10.680,8.510,2.800,0.557
1109,lower leaflet,8.120,11.030,2.620,0.670
1110,lower leaflet,16.280,8.890,2.370,0.647
1111,lower leaflet,15.420,17.880,2.540,0.706
1112,lower leaflet,13.880,14.510,3.170,0.805
1113,lower leaflet,8.120,9.510,2.820,0.711
1114,lower leaflet,13.840,12.610,2.980,0.568
1115,lower leaflet,16.630,12.090,2.490,0.536
1116,lower leaflet,13.150,7.480,2.910,0.667
1117,lower leaflet,10.470,5.360,2.780,0.626
1118,lower leaflet,17.940,9.210,1.930,0.684
1119,lower leaflet,10.150,6.460,2.860,0.677
1120,lower leaflet,9.300,17.580,3.050,0.545
1121,lower leaflet,6.450,16.550,2.610,0.727
1122,lower leaflet,8.260,16.020,3.000,0.703
1123,lower leaflet,6.880,10.810,2.830,0.675
1124,lower leaflet,10.890,5.730,3.310,0.579
1125,lower leaflet,11.740,16.840,2.670,0.617
1126,lower leaflet,15.830,17.030,2.420,0.858
1127,lower leaflet,12.810,17.230,2.440,0.700
1128,lower leaflet,15.010,14.920,2.780,0.728
1129,lower leaflet,16.520,13.900,2.670,0.559
1130,lower leaflet,14.420,11.790,2.710,0.663
1131,lower leaflet,8.610,8.770,2.600,0.759
1132,lower leaflet,10.480,17.190,2.650,0.681
1133,lower leaflet,5.340,12.190,3.050,0.610
1134,lower leaflet,14.760,8.150,2.960,0.644
1135,lower leaflet,11.510,16.050,2.700,0.834
1136,lower leaflet,12.360,16.460,2.790,0.906
1138,lower leaflet,7.170,10.120,2.640,0.722
1139,lower leaflet,15.590,16.040,2.750,0.667
1140,lower leaflet,15.910,12.510,2.740,0.556
1141,lower leaflet,16.520,11.140,2.500,0.642
1142,lower leaflet,5.030,11.410,2.670,0.686
1143,lower leaflet,8.530,6.390,3.010,0.425
1144,lower leaflet,13.420,8.700,2.550,0.712
1145,lower leaflet,18.330,9.830,2.290,0.672
1146,lower leaflet,14.160,8.930,2.980,0.556
1147,lower leaflet,11.520,17.420,3.480,0.334
1148,lower leaflet,12.100,6.690,3.390,0.577
1149,lower leaflet,7.920,10.010,2.760,0.734
1150,lower leaflet,13.010,18.070,2.340,0.596
1151,lower leaflet,6.660,12.580,2.720,0.683
1152,lower leaflet,18.470,8.430,2.350,0.732
1154,lower leaflet,4.680,12.300,2.560,0.651
1155,lower leaflet,14.740,16.730,2.420,0.943
1157,lower leaflet,18.400,11.560,2.380,0.669
1158,lower leaflet,11.850,4.460,2.700,0.720
1159,lower leaflet,12.870,7.930,2.830,0.624
