resid,leaflet,X coords,Y coords,Z coords,Thickness
104,lower leaflet,15.060,13.990,3.930,4.214
124,lower leaflet,13.820,7.830,3.540,3.855
311,lower leaflet,2.800,12.840,3.460,4.150
381,lower leaflet,9.240,20.840,3.470,4.078
658,lower leaflet,15.590,21.950,3.820,4.114
826,lower leaflet,19.970,24.460,3.490,3.963
962,lower leaflet,5.590,24.090,3.610,3.938
1001,lower leaflet,10.650,14.670,2.780,4.022
1002,lower leaflet,12.100,12.830,3.420,3.919
1003,lower leaflet,9.360,12.440,2.150,4.012
1004,lower leaflet,9.360,13.620,2.760,4.084
1005,lower leaflet,13.400,11.430,3.090,3.884
1006,lower leaflet,9.500,11.010,2.500,3.856
1007,lower leaflet,11.270,8.080,3.060,3.567
1008,lower leaflet,13.170,12.560,3.430,3.940
1009,lower leaflet,12.820,13.460,3.210,3.909
1010,lower leaflet,13.090,9.580,2.730,3.792
1011,lower leaflet,7.910,10.620,2.160,3.710
1012,lower leaflet,12.560,11.780,2.910,3.771
1013,lower leaflet,14.170,12.220,3.370,4.176
1014,lower leaflet,11.900,9.170,2.710,3.742
1015,lower leaflet,10.890,11.840,2.780,3.986
1016,lower leaflet,9.080,9.960,2.500,3.740
1017,lower leaflet,12.760,10.400,2.900,3.777
1018,lower leaflet,15.210,8.880,3.020,4.140
1019,lower leaflet,13.050,15.550,3.640,3.820
1020,lower leaflet,8.250,20.140,2.770,4.196
1021,lower leaflet,12.030,17.060,3.030,4.105
1022,lower leaflet,10.950,12.870,2.800,3.990
1023,lower leaflet,10.640,12.490,2.620,3.910
1024,lower leaflet,10.580,13.770,2.740,4.066
1026,lower leaflet,13.370,12.050,3.010,3.919
1027,lower leaflet,14.160,10.030,3.600,4.217
1028,lower leaflet,13.910,9.770,3.060,3.987
1029,lower leaflet,16.390,12.840,3.090,3.994
1030,lower leaflet,6.880,10.430,2.300,3.458
1031,lower leaflet,15.690,7.420,3.170,4.101
1032,lower leaflet,12.570,12.600,3.100,3.786
1033,lower leaflet,12.240,13.040,2.880,3.892
1034,lower leaflet,8.830,12.430,2.240,4.198
1035,lower leaflet,14.590,8.010,2.700,3.446
1036,lower leaflet,14.300,7.630,2.930,3.852
1037,lower leaflet,11.390,10.390,2.590,4.056
1038,lower leaflet,9.580,14.060,2.560,4.032
1039,lower leaflet,9.380,16.750,2.500,3.979
1040,lower leaflet,8.700,14.010,2.330,4.097
1041,lower leaflet,10.160,12.280,2.380,3.846
1042,lower leaflet,11.380,15.270,3.310,3.989
1043,lower leaflet,10.710,10.420,2.940,3.978
1045,lower leaflet,14.870,15.310,3.330,3.869
1046,lower leaflet,13.180,14.200,3.450,3.713
1047,lower leaflet,13.730,17.260,3.600,3.961
1049,lower leaflet,9.750,9.450,3.020,3.835
1050,lower leaflet,13.950,13.890,3.720,3.810
1051,lower leaflet,14.280,11.340,2.950,4.235
1052,lower leaflet,13.720,6.830,2.730,3.694
1053,lower leaflet,12.560,6.360,3.490,3.657
1054,lower leaflet,15.800,9.540,3.110,4.134
1055,lower leaflet,10.230,17.280,2.240,3.874
1056,lower leaflet,10.890,15.460,3.240,4.042
1057,lower leaflet,12.040,12.120,2.900,3.834
1058,lower leaflet,13.620,8.180,3.070,3.936
1059,lower leaflet,12.600,14.880,3.360,4.215
1060,lower leaflet,14.770,9.110,2.880,3.940
1061,lower leaflet,8.220,16.440,2.560,3.916
1062,lower leaflet,9.920,20.270,2.960,3.996
1063,lower leaflet,7.940,14.330,2.370,4.033
1064,lower leaflet,5.820,6.940,1.850,4.093
1066,lower leaflet,8.890,12.670,2.720,4.203
1067,lower leaflet,14.010,15.420,3.640,3.773
1068,lower leaflet,7.290,19.070,2.520,4.232
1069,lower leaflet,11.800,8.690,3.060,3.774
1070,lower leaflet,9.470,17.900,2.370,3.966
1071,lower leaflet,14.720,10.290,3.140,3.904
1072,lower leaflet,13.920,9.110,3.240,3.660
1073,lower leaflet,15.770,13.240,3.120,4.215
1074,lower leaflet,8.010,18.600,2.350,3.796
1075,lower leaflet,15.290,9.820,3.000,4.018
1076,lower leaflet,16.630,16.410,3.350,4.281
1078,lower leaflet,12.640,8.610,2.800,3.779
1079,lower leaflet,13.650,13.020,3.110,4.044
1080,lower leaflet,16.070,10.390,2.980,4.001
1081,lower leaflet,13.410,6.040,2.880,3.689
1082,lower leaflet,8.800,6.870,2.520,4.064
1083,lower leaflet,16.730,9.830,3.060,4.092
1084,lower leaflet,12.560,16.510,3.300,4.105
1085,lower leaflet,11.010,6.420,2.660,3.718
1086,lower leaflet,9.760,10.380,2.750,3.798
1087,lower leaflet,12.120,14.730,2.630,3.983
1088,lower leaflet,8.850,13.080,2.170,4.146
1089,lower leaflet,14.640,12.770,3.310,4.555
1090,lower leaflet,9.510,15.340,3.060,3.739
1091,lower leaflet,12.640,14.530,2.870,3.995
1092,lower leaflet,7.160,22.080,2.750,3.680
1093,lower leaflet,10.930,13.430,2.490,3.924
1094,lower leaflet,14.720,13.770,3.620,4.011
1095,lower leaflet,10.100,10.130,3.120,3.831
1096,lower leaflet,10.430,15.750,3.190,4.206
1097,lower leaflet,16.320,13.790,3.040,4.013
1098,lower leaflet,10.150,8.620,2.750,3.826
1099,lower leaflet,18.000,14.490,3.130,3.923
1100,lower leaflet,2.690,13.220,2.570,3.838
1101,lower leaflet,8.740,7.550,2.080,4.115
1102,lower leaflet,17.320,9.960,2.670,3.995
1103,lower leaflet,15.050,12.500,3.240,4.363
1104,lower leaflet,9.340,19.030,2.880,3.965
1105,lower leaflet,7.560,5.280,2.550,3.946
1106,lower leaflet,7.240,15.910,2.230,4.178
1107,lower leaflet,15.510,10.200,2.820,3.915
1108,lower leaflet,11.770,11.670,2.870,3.886
1109,lower leaflet,5.560,12.290,2.230,3.932
1110,lower leaflet,15.120,11.220,3.230,4.000
1111,lower leaflet,13.590,19.430,3.150,3.743
1112,lower leaflet,14.340,14.760,3.450,3.764
1113,lower leaflet,10.790,8.960,2.700,3.800
1114,lower leaflet,15.060,16.170,3.060,3.806
1115,lower leaflet,14.830,13.370,3.350,4.021
1116,lower leaflet,16.110,8.260,3.180,4.221
1117,lower leaflet,12.560,5.990,2.810,3.680
1118,lower leaflet,16.940,10.680,3.040,4.019
1119,lower leaflet,9.750,6.800,2.560,3.875
1120,lower leaflet,8.900,18.250,2.580,3.941
1121,lower leaflet,6.630,17.180,2.340,4.191
1122,lower leaflet,8.540,15.540,2.720,3.727
1123,lower leaflet,8.520,9.400,2.400,3.782
1124,lower leaflet,13.890,5.730,2.900,3.261
1125,lower leaflet,10.680,16.790,2.780,3.853
1126,lower leaflet,16.080,17.530,3.390,4.041
1127,lower leaflet,9.970,16.090,3.110,4.090
1128,lower leaflet,10.890,16.020,3.240,4.100
1129,lower leaflet,16.770,13.930,3.340,3.883
1130,lower leaflet,13.490,14.670,3.550,3.567
1131,lower leaflet,10.340,11.090,2.730,3.972
1132,lower leaflet,9.330,20.130,2.960,4.080
1133,lower leaflet,3.680,13.060,2.050,4.065
1134,lower leaflet,16.930,8.290,2.990,4.052
1135,lower leaflet,9.120,14.890,2.560,3.549
1136,lower leaflet,9.320,16.130,3.080,3.981
1138,lower leaflet,9.100,8.810,2.440,3.747
1139,lower leaflet,16.800,18.270,3.330,3.957
1140,lower leaflet,14.900,14.280,3.360,3.990
1141,lower leaflet,16.050,11.660,3.040,4.132
1142,lower leaflet,4.040,16.650,2.760,3.768
1143,lower leaflet,10.360,5.260,2.880,3.840
1144,lower leaflet,13.720,10.660,2.940,4.029
1145,lower leaflet,15.800,12.500,2.950,4.362
1146,lower leaflet,16.150,7.710,2.970,4.177
1147,lower leaflet,8.430,15.890,3.120,3.954
1148,lower leaflet,15.640,6.690,3.300,3.908
1149,lower leaflet,6.750,12.040,2.350,3.933
1150,lower leaflet,11.380,20.620,2.700,3.894
1151,lower leaflet,7.670,11.690,2.270,3.854
1152,lower leaflet,19.500,9.320,2.770,4.064
1154,lower leaflet,2.470,12.410,2.740,4.115
1155,lower leaflet,14.320,16.120,3.330,3.640
1157,lower leaflet,17.010,11.570,2.890,3.929
1158,lower leaflet,11.850,4.820,2.540,3.667
1159,lower leaflet,15.870,5.990,2.910,3.784
1160,lower leaflet,7.750,15.110,2.170,3.880
1161,lower leaflet,11.340,9.770,2.870,4.045
1162,lower leaflet,8.450,17.270,2.270,4.038
1163,lower leaflet,7.810,16.050,2.630,3.895
1164,lower leaflet,18.160,10.510,2.850,4.103
1165,lower leaflet,11.850,24.310,2.920,3.922
1166,lower leaflet,7.520,21.070,2.930,3.955
1167,lower leaflet,12.960,19.280,3.380,3.982
1168,lower leaflet,17.020,13.260,3.100,3.912
1169,lower leaflet,12.030,6.630,2.760,3.672
1170,lower leaflet,15.710,16.540,3.410,3.960
1171,lower leaflet,7.170,12.940,2.260,3.907
1172,lower leaflet,11.990,21.290,2.790,3.910
1173,lower leaflet,17.860,12.950,3.340,3.830
