resid,leaflet,X coords,Y coords,Z coords,Area per lipid
122,lower leaflet,2.916,5.007,3.515,0.616
123,lower leaflet,2.538,7.068,3.304,0.571
124,lower leaflet,4.159,5.271,3.758,0.581
125,lower leaflet,3.616,5.660,3.733,0.598
126,lower leaflet,0.787,3.765,3.362,0.658
127,lower leaflet,5.409,3.821,3.507,0.548
128,lower leaflet,2.096,6.786,3.647,0.575
129,lower leaflet,5.424,4.733,3.533,0.567
130,lower leaflet,0.289,6.327,3.379,0.647
131,lower leaflet,3.883,2.926,3.780,0.576
132,lower leaflet,3.058,0.253,3.624,0.678
133,lower leaflet,6.463,3.917,3.666,0.564
134,lower leaflet,4.564,7.861,3.722,0.521
135,lower leaflet,0.307,3.849,3.093,0.691
136,lower leaflet,1.470,5.070,3.493,0.650
137,lower leaflet,1.364,5.761,3.633,0.626
138,lower leaflet,3.859,4.692,3.561,0.582
139,lower leaflet,3.674,3.658,4.088,0.564
140,lower leaflet,0.884,5.335,3.437,0.664
141,lower leaflet,5.242,2.598,3.690,0.583
142,lower leaflet,3.006,8.317,3.499,0.635
143,lower leaflet,4.222,6.982,3.880,0.517
144,lower leaflet,4.816,7.234,3.814,0.500
145,lower leaflet,5.234,5.317,3.482,0.583
146,lower leaflet,2.481,7.557,3.631,0.596
147,lower leaflet,5.680,0.987,3.277,0.634
148,lower leaflet,5.217,0.401,3.351,0.611
149,lower leaflet,5.157,5.997,3.446,0.567
150,lower leaflet,7.953,3.456,2.790,0.675
151,lower leaflet,2.685,3.907,3.934,0.586
152,lower leaflet,1.295,2.840,3.223,0.562
153,lower leaflet,7.435,4.452,3.140,0.641
154,lower leaflet,5.057,3.435,3.815,0.546
155,lower leaflet,3.576,8.073,3.567,0.589
156,lower leaflet,5.979,5.054,3.327,0.592
157,lower leaflet,3.136,1.307,3.500,0.659
158,lower leaflet,5.594,2.286,3.357,0.608
159,lower leaflet,6.299,5.652,3.446,0.624
160,lower leaflet,4.424,0.924,3.355,0.634
161,lower leaflet,4.026,7.507,3.661,0.534
162,lower leaflet,8.020,4.227,3.141,0.685
163,lower leaflet,4.678,6.427,3.756,0.530
164,lower leaflet,2.757,2.633,3.532,0.595
165,lower leaflet,1.643,6.467,3.537,0.594
166,lower leaflet,4.537,2.368,3.709,0.593
167,lower leaflet,7.535,3.621,3.283,0.630
168,lower leaflet,6.290,4.425,3.442,0.576
169,lower leaflet,8.664,5.530,3.320,0.681
170,lower leaflet,2.588,4.489,3.783,0.597
171,lower leaflet,1.861,8.395,3.638,0.623
172,lower leaflet,3.738,2.024,4.007,0.603
173,lower leaflet,4.336,3.282,4.072,0.553
174,lower leaflet,7.349,2.647,2.875,0.658
175,lower leaflet,6.714,0.126,3.546,0.601
176,lower leaflet,8.260,2.089,2.890,0.669
177,lower leaflet,5.731,8.179,3.362,0.561
178,lower leaflet,5.379,7.667,3.624,0.520
179,lower leaflet,5.014,1.380,3.440,0.645
180,lower leaflet,1.883,7.623,3.528,0.602
181,lower leaflet,0.135,6.925,3.193,0.648
182,lower leaflet,4.642,8.315,3.464,0.552
183,lower leaflet,7.793,5.388,3.318,0.677
184,lower leaflet,6.104,0.415,3.378,0.615
185,lower leaflet,4.120,1.596,3.921,0.624
186,lower leaflet,7.756,6.823,3.251,0.631
187,lower leaflet,8.211,5.968,3.170,0.660
188,lower leaflet,7.742,1.577,3.647,0.636
189,lower leaflet,6.486,1.501,3.509,0.626
190,lower leaflet,5.627,3.295,3.526,0.549
191,lower leaflet,0.921,0.736,3.500,0.602
192,lower leaflet,3.147,3.470,3.797,0.579
193,lower leaflet,7.167,1.784,3.643,0.622
194,lower leaflet,1.491,3.581,3.298,0.593
195,lower leaflet,3.247,1.964,3.732,0.619
196,lower leaflet,1.438,2.408,3.578,0.562
197,lower leaflet,3.922,0.595,3.692,0.639
198,lower leaflet,6.874,2.241,3.249,0.622
199,lower leaflet,1.272,0.005,3.667,0.609
200,lower leaflet,6.553,7.291,3.265,0.589
201,lower leaflet,2.051,2.418,3.538,0.578
202,lower leaflet,6.808,7.953,3.219,0.590
203,lower leaflet,6.860,0.953,3.307,0.608
204,lower leaflet,0.290,2.111,2.974,0.637
205,lower leaflet,1.134,1.751,3.500,0.588
206,lower leaflet,1.777,0.313,3.677,0.635
207,lower leaflet,8.221,7.241,3.117,0.628
208,lower leaflet,6.700,6.587,3.221,0.628
209,lower leaflet,7.134,0.621,3.630,0.599
210,lower leaflet,0.518,4.696,3.107,0.717
211,lower leaflet,2.428,1.628,3.398,0.637
212,lower leaflet,2.307,1.008,3.105,0.670
213,lower leaflet,8.187,7.852,3.357,0.616
214,lower leaflet,0.944,8.303,3.427,0.614
215,lower leaflet,1.139,7.371,3.373,0.621
216,lower leaflet,7.790,8.475,3.971,0.591
217,lower leaflet,0.260,7.894,3.551,0.628
218,lower leaflet,8.457,0.960,3.492,0.612
219,lower leaflet,0.843,6.403,3.705,0.632
220,lower leaflet,0.234,1.064,3.237,0.618
221,lower leaflet,0.485,0.104,3.461,0.599
247,lower leaflet,4.808,4.868,3.422,0.429
248,lower leaflet,4.087,6.341,3.708,0.573
249,lower leaflet,3.338,6.486,3.435,0.628
250,lower leaflet,2.140,4.959,3.442,0.673
251,lower leaflet,8.568,2.760,2.779,0.726
252,lower leaflet,6.336,3.210,3.290,0.567
253,lower leaflet,7.185,5.097,3.052,0.601
254,lower leaflet,4.077,8.628,3.510,0.572
255,lower leaflet,2.458,5.854,3.555,0.662
256,lower leaflet,2.734,6.486,3.096,0.613
257,lower leaflet,5.776,6.420,3.235,0.580
258,lower leaflet,6.018,2.651,3.360,0.561
259,lower leaflet,5.936,7.287,3.239,0.549
260,lower leaflet,7.223,5.611,3.242,0.620
261,lower leaflet,1.978,3.030,3.627,0.638
262,lower leaflet,5.355,8.576,3.225,0.503
263,lower leaflet,6.928,3.739,3.122,0.566
