resid,leaflet,X coords,Y coords,Z coords,Thickness
39,lower leaflet,6.028,4.614,2.924,4.458
40,lower leaflet,6.639,5.157,2.491,4.435
41,lower leaflet,2.791,5.422,2.296,4.649
42,lower leaflet,3.165,5.868,2.579,4.555
43,lower leaflet,6.375,3.597,2.754,4.578
44,lower leaflet,2.303,3.397,2.240,4.267
45,lower leaflet,5.078,2.423,2.226,4.536
46,lower leaflet,5.385,7.593,2.674,4.243
47,lower leaflet,2.978,2.523,1.893,4.169
48,lower leaflet,0.984,4.495,2.001,4.411
49,lower leaflet,1.679,6.860,3.062,4.275
50,lower leaflet,6.434,2.497,2.648,4.453
51,lower leaflet,6.678,2.026,2.346,4.460
52,lower leaflet,7.819,6.361,2.589,4.490
53,lower leaflet,1.791,1.691,2.284,4.179
54,lower leaflet,3.927,7.662,2.789,4.125
55,lower leaflet,7.030,7.107,2.825,4.497
56,lower leaflet,2.923,8.542,2.624,4.037
57,lower leaflet,0.077,4.433,2.537,4.382
58,lower leaflet,4.505,0.816,2.853,4.045
59,lower leaflet,4.016,0.830,2.592,4.258
60,lower leaflet,7.145,7.714,2.782,4.552
61,lower leaflet,2.177,8.508,2.666,4.139
62,lower leaflet,9.187,5.976,2.480,4.084
63,lower leaflet,9.565,3.280,2.248,4.372
64,lower leaflet,4.812,0.349,2.565,4.656
65,lower leaflet,3.699,9.263,2.637,4.299
66,lower leaflet,8.117,8.385,2.818,4.487
67,lower leaflet,9.529,6.900,2.565,4.095
68,lower leaflet,7.650,7.968,2.749,4.759
69,lower leaflet,0.829,7.749,3.080,4.448
70,lower leaflet,9.037,2.286,2.422,4.342
71,lower leaflet,0.288,1.161,2.594,4.047
72,lower leaflet,8.905,8.295,2.962,4.357
73,lower leaflet,9.239,7.775,2.834,4.486
74,lower leaflet,9.119,0.885,2.627,4.360
75,lower leaflet,8.581,9.612,2.568,4.460
76,lower leaflet,9.725,0.377,2.844,4.144
147,lower leaflet,4.559,4.718,2.619,4.553
148,lower leaflet,3.484,4.472,2.002,4.581
149,lower leaflet,5.645,5.650,2.767,4.270
150,lower leaflet,3.862,5.440,2.817,4.597
151,lower leaflet,2.881,4.550,2.313,4.712
152,lower leaflet,5.061,4.295,2.968,4.325
153,lower leaflet,4.596,5.992,2.843,4.597
154,lower leaflet,3.890,5.932,2.638,4.618
155,lower leaflet,5.034,3.456,2.661,4.574
156,lower leaflet,3.968,7.153,2.778,4.085
157,lower leaflet,4.700,6.665,2.300,4.463
158,lower leaflet,3.431,6.687,2.856,4.460
159,lower leaflet,6.772,6.606,2.462,4.328
160,lower leaflet,3.448,3.517,2.043,4.453
161,lower leaflet,1.932,3.964,2.374,4.489
162,lower leaflet,4.048,3.302,2.630,4.386
163,lower leaflet,1.757,5.849,2.490,4.404
164,lower leaflet,7.034,5.787,2.423,4.300
165,lower leaflet,6.009,7.432,2.695,4.249
166,lower leaflet,3.634,2.595,1.962,4.277
167,lower leaflet,2.683,7.476,2.992,4.345
168,lower leaflet,1.385,4.941,2.387,4.430
169,lower leaflet,4.685,2.431,2.766,4.606
170,lower leaflet,7.288,6.266,2.391,4.506
171,lower leaflet,1.975,6.403,2.815,4.236
172,lower leaflet,3.878,2.379,2.506,4.459
173,lower leaflet,7.583,3.385,2.367,4.722
174,lower leaflet,6.816,4.299,2.946,4.556
175,lower leaflet,2.749,1.872,2.115,4.243
176,lower leaflet,4.994,8.110,2.789,4.194
177,lower leaflet,5.608,8.224,3.015,4.381
178,lower leaflet,1.496,2.557,2.514,4.284
179,lower leaflet,5.356,1.070,2.598,4.498
180,lower leaflet,3.368,1.120,2.640,4.387
181,lower leaflet,8.183,3.099,2.502,4.518
182,lower leaflet,7.506,2.522,2.288,4.492
183,lower leaflet,9.741,5.778,2.721,4.241
184,lower leaflet,0.297,3.752,2.333,4.490
185,lower leaflet,1.683,8.193,2.840,4.487
186,lower leaflet,4.474,9.314,2.517,4.316
187,lower leaflet,4.180,8.811,2.562,3.985
188,lower leaflet,0.022,4.982,2.632,4.347
189,lower leaflet,4.687,1.405,2.827,4.073
190,lower leaflet,0.599,6.859,2.504,4.107
191,lower leaflet,7.461,1.841,2.620,4.410
192,lower leaflet,5.705,9.151,2.745,4.609
193,lower leaflet,1.873,7.607,2.625,4.492
194,lower leaflet,3.174,0.547,2.888,4.479
195,lower leaflet,0.027,2.116,2.451,4.250
196,lower leaflet,7.925,1.528,2.711,4.349
197,lower leaflet,1.097,2.166,2.123,4.301
198,lower leaflet,8.729,5.330,2.501,4.138
199,lower leaflet,5.484,0.039,2.611,4.531
200,lower leaflet,1.699,0.401,2.314,4.469
201,lower leaflet,3.255,9.706,2.635,4.460
202,lower leaflet,7.158,1.017,2.284,4.363
203,lower leaflet,8.543,1.380,2.581,4.330
204,lower leaflet,6.565,0.390,2.620,4.685
205,lower leaflet,0.637,8.571,3.167,4.421
206,lower leaflet,2.403,0.046,2.643,4.566
207,lower leaflet,7.713,0.793,2.540,4.442
208,lower leaflet,0.891,0.582,2.533,3.984
209,lower leaflet,8.953,7.140,3.085,4.429
210,lower leaflet,1.026,9.325,2.957,4.431
211,lower leaflet,8.564,8.857,2.983,4.237
212,lower leaflet,7.404,9.684,2.544,4.544
213,lower leaflet,0.406,9.151,3.217,4.159
214,lower leaflet,9.579,1.092,2.854,4.293
215,lower leaflet,0.254,9.640,2.753,4.056
216,lower leaflet,9.676,8.893,2.949,4.340
235,lower leaflet,2.116,4.562,2.341,4.495
236,lower leaflet,2.724,6.281,2.413,4.258
237,lower leaflet,2.554,2.827,2.043,4.144
238,lower leaflet,3.093,8.119,2.837,4.227
239,lower leaflet,6.943,4.567,2.334,4.535
240,lower leaflet,0.690,2.698,2.174,4.387
241,lower leaflet,8.163,7.362,2.785,4.534
242,lower leaflet,5.039,9.006,2.658,4.323
243,lower leaflet,8.526,6.666,2.873,4.421
244,lower leaflet,8.293,2.306,2.512,4.411
245,lower leaflet,1.625,1.075,2.250,4.089
246,lower leaflet,8.053,4.806,2.362,4.364
247,lower leaflet,5.930,0.763,2.782,4.511
248,lower leaflet,6.771,9.022,2.510,4.531
249,lower leaflet,0.092,2.766,2.350,4.421
250,lower leaflet,1.454,9.548,2.621,4.531
251,lower leaflet,0.083,8.201,3.170,4.338
252,lower leaflet,8.040,9.307,2.974,4.230
279,lower leaflet,4.649,5.537,2.379,4.510
280,lower leaflet,5.608,4.998,2.709,4.487
281,lower leaflet,4.359,4.104,2.338,4.697
282,lower leaflet,5.942,5.960,2.432,4.255
283,lower leaflet,5.253,7.038,2.377,4.493
284,lower leaflet,2.124,5.183,2.327,4.471
285,lower leaflet,6.246,7.027,2.377,4.087
286,lower leaflet,5.954,3.225,2.357,4.632
