resid,leaflet,X coords,Y coords,Z coords,Thickness
39,lower leaflet,6.022,4.572,3.007,4.625
40,lower leaflet,6.652,5.361,2.651,4.401
41,lower leaflet,3.069,5.429,2.420,4.647
42,lower leaflet,3.222,5.956,2.682,4.548
43,lower leaflet,6.154,3.638,2.714,4.757
44,lower leaflet,2.108,3.505,2.214,4.574
45,lower leaflet,4.911,2.876,2.504,4.635
46,lower leaflet,5.365,7.816,2.634,4.448
47,lower leaflet,2.588,3.227,1.729,4.711
48,lower leaflet,1.216,4.337,2.131,4.320
49,lower leaflet,1.854,6.800,2.590,4.064
50,lower leaflet,6.437,2.692,2.664,4.681
51,lower leaflet,6.651,2.240,2.317,4.635
52,lower leaflet,7.886,6.489,2.558,4.652
53,lower leaflet,1.901,1.735,1.913,4.077
54,lower leaflet,3.880,7.849,2.702,3.963
55,lower leaflet,7.046,7.242,2.786,4.795
56,lower leaflet,3.241,8.684,2.886,4.223
57,lower leaflet,0.176,4.295,2.341,4.225
58,lower leaflet,4.426,0.807,2.877,4.248
59,lower leaflet,3.973,0.869,2.616,4.504
60,lower leaflet,7.173,7.794,2.790,4.785
61,lower leaflet,2.508,8.494,2.686,4.275
62,lower leaflet,9.186,5.817,2.071,4.342
63,lower leaflet,9.535,3.314,2.397,4.534
64,lower leaflet,4.641,0.236,2.780,4.290
65,lower leaflet,3.331,9.400,2.790,4.341
66,lower leaflet,8.125,8.486,2.820,4.329
67,lower leaflet,9.665,6.961,2.188,4.478
68,lower leaflet,7.674,8.117,2.748,4.649
69,lower leaflet,0.563,7.796,2.654,4.443
70,lower leaflet,8.505,2.362,2.231,4.106
71,lower leaflet,9.675,1.138,2.610,4.077
72,lower leaflet,8.868,8.310,2.861,4.392
73,lower leaflet,9.371,7.874,2.702,4.447
74,lower leaflet,8.939,0.747,3.025,4.123
75,lower leaflet,8.719,0.110,2.617,4.450
76,lower leaflet,9.625,0.287,2.811,4.042
147,lower leaflet,4.341,5.137,2.387,4.604
148,lower leaflet,3.832,4.744,2.362,4.616
149,lower leaflet,5.753,5.649,2.807,4.426
150,lower leaflet,3.794,5.542,2.910,4.571
151,lower leaflet,3.206,4.593,2.407,4.706
152,lower leaflet,5.426,4.234,2.857,4.806
153,lower leaflet,4.910,6.042,2.768,4.543
154,lower leaflet,3.874,6.043,2.502,4.491
155,lower leaflet,5.019,3.742,2.549,4.521
156,lower leaflet,3.997,7.122,2.932,4.135
157,lower leaflet,4.711,6.820,2.521,4.374
158,lower leaflet,3.380,6.778,2.708,4.275
159,lower leaflet,6.857,6.752,2.372,4.499
160,lower leaflet,3.043,3.923,2.096,4.675
161,lower leaflet,2.075,4.217,2.499,4.409
162,lower leaflet,4.098,3.246,2.533,4.588
163,lower leaflet,1.781,5.663,2.402,4.292
164,lower leaflet,7.088,5.900,2.536,4.631
165,lower leaflet,6.101,7.508,2.749,4.414
166,lower leaflet,3.357,2.704,2.003,4.453
167,lower leaflet,2.850,7.448,2.814,4.267
168,lower leaflet,1.325,4.756,2.523,4.248
169,lower leaflet,4.480,2.506,2.276,4.583
170,lower leaflet,7.386,6.407,2.313,4.715
171,lower leaflet,1.949,6.221,2.852,4.076
172,lower leaflet,3.660,2.405,2.382,4.448
173,lower leaflet,7.456,3.516,2.446,4.811
174,lower leaflet,6.852,4.497,3.004,4.509
175,lower leaflet,2.797,1.770,2.298,4.259
176,lower leaflet,4.786,7.983,2.848,4.259
177,lower leaflet,5.326,8.489,2.942,4.108
178,lower leaflet,1.788,2.337,2.155,4.202
179,lower leaflet,5.592,1.637,2.358,4.392
180,lower leaflet,3.503,1.334,2.628,4.346
181,lower leaflet,8.077,3.248,2.496,4.655
182,lower leaflet,7.281,2.716,2.221,4.439
183,lower leaflet,9.689,5.781,2.338,4.218
184,lower leaflet,0.430,3.646,2.274,4.346
185,lower leaflet,1.994,8.199,2.742,4.448
186,lower leaflet,4.378,9.387,2.820,4.111
187,lower leaflet,3.957,8.875,2.903,4.066
188,lower leaflet,9.647,4.825,2.531,4.154
189,lower leaflet,4.802,1.229,2.840,4.487
