Species,abbrev,lm_id,name,Exceptions,charmm36,concentration
CL 68:2,CL 68:2,LMGP12010081,"CL(1'-[16:0/18:1(9Z)],3'-[16:0/18:1(9Z)])",False,POCL2,0.0
CL 68:2,CL 68:2,LMGP12010081,"CL(1'-[16:0/18:1(9Z)],3'-[16:0/18:1(9Z)])",False,POCL1,0.0
CL 68:2,CL 68:2,LMGP12010006,"CL(1'-[16:0/18:1(11Z)],3'-[16:0/18:1(11Z)])",False,PVCL2,0.0
Cer 34:1;2,Cer 34:1;O2,LMSP02010004,Cer(d18:1/16:0),True,CER160,0.158168168483941
Cer 36:1;2,Cer 36:1;O2,LMSP02010006,Cer(d18:1/18:0),True,CER180,0.0104178294802823
Cer 36:2;2,Cer 36:2;O2,LMSP02010003,Cer(d18:1/18:1(9Z)),True,CER181,0.0
Cer 40:1;2,Cer 40:1;O2,LMSP02010008,Cer(d18:1/22:0),True,CER220,0.0169060500738853
Cer 42:1;2,Cer 42:1;O2,LMSP02010012,Cer(d18:1/24:0),True,CER240,0.0675962090464608
Cer 42:2;2,Cer 42:2;O2,LMSP02010009,Cer(d18:1/24:1(15Z)),True,CER241,0.134158391912655
PA 32:2,PA 32:2,LMGP10010969,PA(16:1(9Z)/16:1(9Z)),False,DYPA,0.0283727439444567
PA 34:1,PA 34:1,LMGP10010032,PA(16:0/18:1(9Z)),False,POPA,0.0526526227726728
PA 34:2,PA 34:2,LMGP10010023,"PA(16:0/18:2(9Z,12Z))",False,PLPA,0.0884011259235145
PA 34:2,PA 34:2,LMGP10010903,PA(16:1(9Z)/18:1(9Z)),False,YOPA,0.0884011259235145
PA 34:3,PA 34:3,LMGP10010975,"PA(16:0/18:3(9Z,12Z,15Z))",False,PLEPA,0.0
PA 36:2,PA 36:2,LMGP10010036,"PA(18:0/18:2(9Z,12Z))",False,SLPA,0.0496424140599122
PA 36:2,PA 36:2,LMGP10010962,PA(18:1(9Z)/18:1(9Z)),False,DOPA,0.0496424140599122
PA 38:4,PA 38:4,LMGP10010024,"PA(18:0/20:4(5Z,8Z,11Z,14Z))",False,SAPA,5.16034814978771e-05
PC 28:0,PC 28:0,LMGP01010477,PC(14:0/14:0),False,DMPC,0.484205120724361
PC 32:0,PC 32:0,LMGP01010564,PC(16:0/16:0),False,DPPC,0.867042705332694
PC 32:1,PC 32:1,LMGP01010566,PC(16:0/16:1(9Z)),False,PYPC,14.1028740152082
PC 32:2,PC 32:2,LMGP01010684,PC(16:1(9Z)/16:1(9Z)),False,DYPC,2.81225425196442
PC 34:1,PC 34:1,LMGP01010005,PC(16:0/18:1(9Z)),False,POPC,14.7970331593335
PC 34:2,PC 34:2,LMGP01010594,"PC(16:0/18:2(9Z,12Z))",False,PLPC,12.1784875438214
PC 34:2,PC 34:2,LMGP01010589,"PC(16:0/18:2(6Z,9Z))",False,PILPC,12.1784875438214
PC 34:2,PC 34:2,LMGP01010688,PC(16:1(9Z)/18:1(9Z)),False,YOPC,12.1784875438214
PC 34:3,PC 34:3,LMGP01010601,"PC(16:0/18:3(9Z,12Z,15Z))",False,PLEPC,0.478354940790106
PC 36:2,PC 36:2,LMGP01010768,"PC(18:0/18:2(9Z,12Z))",False,SLPC,11.0910994845843
PC 36:2,PC 36:2,LMGP01010890,PC(18:1(9Z)/18:1(9Z)),False,DOPC,11.0910994845843
PC 36:3,PC 36:3,LMGP01011589,"PC(18:0/18:3(9Z,12Z,15Z))",False,SLEPC,0.942470356140574
PC 36:4,PC 36:4,LMGP01010937,"PC(18:2(9Z,12Z)/18:2(9Z,12Z))",False,DUPC,1.10055965935251
PC 36:4,PC 36:4,LMGP01010937,"PC(18:2(9Z,12Z)/18:2(9Z,12Z))",False,DLiPC,1.10055965935251
PC 36:5,PC 36:5,LMGP01011626,"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",False,LLPC,0.839979944780581
PC 38:4,PC 38:4,LMGP01010802,"PC(18:0/20:4(5Z,8Z,11Z,14Z))",False,SAPC,0.20619133752979
PC 40:2,PC 40:2,LMGP01012221,PC(22:1(13Z)/18:1(9Z)),False,OEPC,0.089352165767862
PC 40:2,PC 40:2,LMGP01011038,PC(20:1(11Z)/20:1(11Z)),False,DGPC,0.089352165767862
PC 40:5,PC 40:5,LMGP01010816,"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",False,SODPC,0.0880705349483219
PC 40:6,PC 40:6,LMGP01010821,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",False,SDPC,0.100234978524943
PC 40:8,PC 40:8,LMGP01011052,"PC(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",False,DAPC,0.0282498574760517
PC 44:2,PC 44:2,LMGP01011110,PC(22:1(13Z)/22:1(13Z)),False,DEPC,0.0417328236934376
PCO- 36:2,PC O-36:2,LMGP01030013,PC(P-18:0/18:1(9Z)),True,PLC18(PC),0.553046696408006
PCO- 38:5,PC O-38:5,LMGP01030012,"PC(P-18:0/20:4(5Z,8Z,11Z,14Z))",True,PLC20(PC),0.177526872507693
PCO- 40:7,PC O-40:7,LMGP01030014,"PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",True,PLC22(PC),0.0613752460420188
PE 28:0,PE 28:0,LMGP02010352,PE(14:0/14:0),False,DMPE,0.0021046906031893
PE 32:0,PE 32:0,LMGP02010037,PE(16:0/16:0),False,DPPE,0.0
PE 32:1,PE 32:1,LMGP02011228,PE(16:0/16:1(9Z)),False,PYPE,0.14914199591984
PE 32:2,PE 32:2,LMGP02010108,PE(16:1(9Z)/16:1(9Z)),False,DYPE,0.125490773569468
PE 34:1,PE 34:1,LMGP02010009,PE(16:0/18:1(9Z)),False,POPE,0.249254281772333
PE 34:2,PE 34:2,LMGP02010042,"PE(16:0/18:2(9Z,12Z))",False,PLPE,0.563928917271692
PE 34:2,PE 34:2,LMGP02011198,PE(18:1(9Z)/16:1(9Z)),False,OYPE,0.563928917271692
PE 34:2,PE 34:2,LMGP02011220,PE(16:1(9Z)/18:1(9Z)),False,YOPE,0.563928917271692
PE 34:3,PE 34:3,LMGP02010041,"PE(16:0/18:3(9Z,12Z,15Z))",False,PLEPE,0.0168932223843735
PE 36:1,PE 36:1,LMGP02010036,PE(18:0/18:1(9Z)),False,SOPE,0.0829274133969515
PE 36:2,PE 36:2,LMGP02010044,"PE(18:0/18:2(9Z,12Z))",False,SLPE,0.630895558254097
PE 36:2,PE 36:2,LMGP02010052,PE(18:1(9Z)/18:1(9Z)),False,DOPE,0.630895558254097
PE 36:4,PE 36:4,LMGP02010111,"PE(18:2(9Z,12Z)/18:2(9Z,12Z))",False,DLiPE,0.0421722531147211
PE 36:4,PE 36:4,LMGP02010096,"PE(16:0/20:4(5Z,8Z,11Z,14Z))",False,PAPE,0.0421722531147211
PE 36:5,PE 36:5,LMGP02010665,"PE(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",False,LLPE,0.0194999561082413
PE 38:4,PE 38:4,LMGP02010118,"PE(18:0/20:4(5Z,8Z,11Z,14Z))",False,SAPE,0.033435551071518
PE 38:6,PE 38:6,LMGP02010095,"PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",False,PDOPE,0.0280315535850841
PE 40:2,PE 40:2,LMGP02011175,PE(20:1(11Z)/20:1(11Z)),False,DGPE,0.0018965888232791
PE 40:6,PE 40:6,LMGP02010094,"PE(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",False,SDPE,0.0006748159598936
PEO- 36:2,PE O-36:2,LMGP02030004,PE(P-18:0/18:1(9Z)),True,PLA18,0.0141544947224538
PEO- 38:5,PE O-38:5,LMGP02030003,"PE(P-18:0/20:4(5Z,8Z,11Z,14Z))",True,PLA20,0.0267790833127895
PG 32:1,PG 32:1,LMGP04010910,PG(16:0/16:1(9Z)),False,PYPG,0.0038935444085785
PG 32:2,PG 32:2,LMGP04010967,PG(16:1(9Z)/16:1(9Z)),False,DYPG,0.0001611646656808
PG 34:0,PG 34:0,LMGP04010907,PG(16:0/18:0),False,PSPG,0.0165852846735587
PG 34:1,PG 34:1,LMGP04010002,PG(16:0/18:1(9Z)),False,POPG,0.0612083365458563
PG 34:1,PG 34:1,LMGP04010962,PG(18:1(9Z)/16:0),False,OPPG,0.0612083365458563
PG 34:1,PG 34:1,LMGP04010987,PG(16:0/18:1(9Z)),False,POPG,0.0612083365458563
PG 34:2,PG 34:2,LMGP04010983,"PG(16:0/18:2(9Z,12Z))",False,PLPG,0.0106301699015981
PG 34:2,PG 34:2,LMGP04010881,PG(18:1(9Z)/16:1(9Z)),False,DOPG,0.0106301699015981
PG 34:3,PG 34:3,LMGP04010973,"PG(16:0/18:3(9Z,12Z,15Z))",False,PLEPG,0.0
