class,relative abundance %,adjusted_relative,number_of_lipids,rounded_number_of_lipids,most common lipid,Matches in martini3
Cer,0.47641032490150653,0.4833397961880984,2.9000387771285903,3.0,Cer 34:1;2,
Chol,8.401247715826662,8.523445329470746,51.14067197682448,51.0,Chol,
HexCer,0.04884186696452697,0.04955228044010436,0.2973136826406262,0.0,HexCer 34:1;2,
PA,0.22311137023212652,0.22635656403445506,1.3581393842067302,1.0,PA 34:2,"PIPA, DOPA"
PC,68.95478162026929,69.95774094825961,419.7464456895577,420.0,PC 34:1,POPC
PC O-,10.12026123513881,10.267462200307234,61.6047732018434,62.0,PCO- 32:1,
PE,2.302080224840388,2.3355643833139905,14.013386299883944,14.0,PE 36:2,"PIPE, DOPE"
PE O-,0.9474464517909975,0.9612272257165551,5.76736335429933,6.0,PEO- 38:6,
PG,0.13358479915973667,0.13552781336769684,0.813166880206181,1.0,PG 34:1,"POPG, OPPG"
PI,6.164130331256541,6.253788682271673,37.52273209363004,38.0,PI 34:1,
PS,0.3203885100686608,0.32504861684013714,1.9502917010408227,2.0,PS 34:1,POPS
SM,0.4740510052194444,0.48094615978967187,2.8856769587380313,3.0,SM 34:1;2,
,98.5663354556687,99.99999999999999,599.9999999999998,601.0,, 
