resid,leaflet,X coords,Y coords,Z coords,Area per lipid
72,lower leaflet,6.490,4.440,5.420,0.250
192,lower leaflet,4.330,4.050,3.690,0.319
193,lower leaflet,3.490,4.270,2.780,0.564
194,lower leaflet,5.490,3.580,3.360,0.565
195,lower leaflet,5.230,4.110,4.770,0.290
196,lower leaflet,6.120,4.640,3.320,0.532
197,lower leaflet,4.230,4.660,3.060,0.460
198,lower leaflet,5.130,2.560,3.280,0.643
199,lower leaflet,3.920,3.770,2.690,0.674
200,lower leaflet,4.930,5.210,2.840,0.478
201,lower leaflet,2.120,5.180,2.500,0.712
202,lower leaflet,6.280,3.390,3.490,0.447
203,lower leaflet,4.700,1.590,3.110,0.680
204,lower leaflet,6.840,4.260,3.560,0.367
205,lower leaflet,4.170,5.510,2.640,0.571
206,lower leaflet,3.650,2.770,2.980,0.648
207,lower leaflet,6.070,5.580,3.620,0.373
208,lower leaflet,6.290,4.150,3.190,0.387
209,lower leaflet,4.410,5.950,3.200,0.400
210,lower leaflet,3.570,4.770,2.490,0.690
211,lower leaflet,3.250,2.950,3.270,0.368
212,lower leaflet,1.010,4.570,2.900,0.528
213,lower leaflet,2.170,3.920,2.510,0.691
214,lower leaflet,5.910,2.390,3.140,0.619
215,lower leaflet,5.930,5.620,3.120,0.507
216,lower leaflet,5.160,6.430,3.470,0.389
217,lower leaflet,2.410,4.570,2.880,0.656
218,lower leaflet,5.630,3.980,3.080,0.532
219,lower leaflet,6.480,4.700,3.680,0.347
220,lower leaflet,5.240,1.890,3.650,0.386
221,lower leaflet,4.480,6.580,2.540,0.515
222,lower leaflet,7.950,4.920,3.400,0.298
223,lower leaflet,4.250,5.260,3.090,0.351
224,lower leaflet,4.230,1.900,3.030,0.683
225,lower leaflet,2.120,2.400,2.380,0.634
226,lower leaflet,6.750,3.200,3.200,0.600
227,lower leaflet,4.910,4.590,3.400,0.468
228,lower leaflet,3.900,5.090,3.310,0.365
229,lower leaflet,5.100,6.570,2.880,0.484
230,lower leaflet,4.670,2.550,3.170,0.658
231,lower leaflet,1.000,2.930,2.850,0.563
232,lower leaflet,0.380,4.710,3.310,0.420
233,lower leaflet,7.460,2.800,3.460,0.479
234,lower leaflet,6.430,7.970,3.580,0.469
235,lower leaflet,6.870,1.940,3.620,0.470
236,lower leaflet,1.750,1.960,2.810,0.572
237,lower leaflet,1.570,5.370,2.770,0.640
238,lower leaflet,5.620,6.500,2.800,0.489
239,lower leaflet,5.070,7.960,3.390,0.341
240,lower leaflet,7.400,2.590,2.990,0.550
241,lower leaflet,7.270,6.080,3.570,0.372
242,lower leaflet,2.100,7.110,2.820,0.577
243,lower leaflet,7.250,4.140,2.760,0.579
244,lower leaflet,3.160,6.050,2.320,0.790
245,lower leaflet,3.280,2.470,2.670,0.648
246,lower leaflet,6.500,1.300,2.820,0.432
247,lower leaflet,6.670,4.960,2.900,0.552
248,lower leaflet,3.620,6.970,2.490,0.697
249,lower leaflet,6.440,0.880,3.090,0.501
250,lower leaflet,0.610,5.570,2.740,0.572
251,lower leaflet,2.900,2.920,2.690,0.641
252,lower leaflet,8.190,2.710,3.110,0.506
253,lower leaflet,6.270,6.280,2.760,0.499
254,lower leaflet,4.560,7.360,2.690,0.600
255,lower leaflet,1.370,3.780,2.190,0.823
256,lower leaflet,6.690,0.380,3.650,0.421
257,lower leaflet,2.870,3.630,2.740,0.646
258,lower leaflet,8.010,2.170,2.600,0.392
259,lower leaflet,1.050,2.170,3.290,0.394
260,lower leaflet,5.820,7.200,2.710,0.517
261,lower leaflet,9.170,2.900,3.470,0.413
262,lower leaflet,6.000,8.760,3.090,0.533
263,lower leaflet,5.620,1.840,3.180,0.605
264,lower leaflet,2.290,1.830,3.060,0.410
265,lower leaflet,7.720,5.060,2.960,0.499
