resid,leaflet,X coords,Y coords,Z coords,Thickness
39,lower leaflet,5.985,4.598,2.919,4.459
40,lower leaflet,6.662,5.107,2.582,4.509
41,lower leaflet,2.872,5.316,2.207,4.595
42,lower leaflet,3.039,5.846,2.459,4.447
43,lower leaflet,6.315,3.570,2.786,4.554
44,lower leaflet,2.255,3.443,2.283,4.241
45,lower leaflet,4.932,2.373,2.431,4.487
46,lower leaflet,5.303,7.667,2.685,4.188
47,lower leaflet,2.816,2.566,1.864,4.058
48,lower leaflet,0.639,4.609,1.897,4.252
49,lower leaflet,1.471,6.647,3.014,4.222
50,lower leaflet,6.529,2.576,2.696,4.516
51,lower leaflet,6.838,2.113,2.343,4.304
52,lower leaflet,7.874,6.360,2.563,4.479
53,lower leaflet,1.481,1.658,2.237,4.212
54,lower leaflet,3.926,7.803,2.810,4.079
55,lower leaflet,7.050,7.261,2.915,4.614
56,lower leaflet,2.902,8.561,2.615,4.150
57,lower leaflet,0.011,4.475,2.464,4.327
58,lower leaflet,4.394,0.738,2.894,3.991
59,lower leaflet,3.877,0.664,2.565,4.080
60,lower leaflet,7.192,7.822,2.929,4.699
61,lower leaflet,2.212,8.397,2.666,4.244
62,lower leaflet,9.143,5.916,2.425,4.095
63,lower leaflet,9.623,3.280,2.252,4.443
64,lower leaflet,4.777,0.314,2.650,4.301
65,lower leaflet,3.498,9.301,2.583,4.126
66,lower leaflet,8.172,8.423,2.837,4.447
67,lower leaflet,9.448,7.050,2.505,4.401
68,lower leaflet,7.700,8.008,2.892,4.742
69,lower leaflet,1.009,7.681,2.981,4.569
70,lower leaflet,8.868,2.234,2.467,4.344
71,lower leaflet,0.122,1.205,2.406,4.446
72,lower leaflet,8.875,8.226,2.912,4.546
73,lower leaflet,9.321,7.888,2.656,4.641
74,lower leaflet,8.953,0.861,2.533,4.413
75,lower leaflet,8.638,9.747,2.580,4.534
76,lower leaflet,9.596,0.334,2.871,4.237
147,lower leaflet,4.259,4.681,2.526,4.683
148,lower leaflet,3.422,4.407,2.236,4.528
149,lower leaflet,5.702,5.639,2.788,4.373
150,lower leaflet,3.871,5.521,2.742,4.658
151,lower leaflet,2.909,4.365,2.273,4.663
152,lower leaflet,5.179,4.212,2.887,4.459
153,lower leaflet,4.677,6.024,2.757,4.530
154,lower leaflet,4.053,6.057,2.764,4.558
155,lower leaflet,5.177,3.467,2.661,4.723
156,lower leaflet,3.854,7.225,2.823,4.089
157,lower leaflet,4.753,6.843,2.349,4.311
158,lower leaflet,3.541,6.814,2.814,4.201
159,lower leaflet,6.781,6.759,2.534,4.374
160,lower leaflet,3.386,3.537,2.051,4.267
161,lower leaflet,1.724,3.936,2.351,4.382
162,lower leaflet,4.196,3.229,2.694,4.156
163,lower leaflet,1.737,5.736,2.482,4.284
164,lower leaflet,7.073,5.754,2.504,4.553
165,lower leaflet,5.956,7.505,2.763,4.252
166,lower leaflet,3.806,2.778,2.032,3.995
167,lower leaflet,2.655,7.468,2.971,4.334
168,lower leaflet,1.383,5.007,2.219,4.363
169,lower leaflet,4.597,2.373,2.832,4.428
170,lower leaflet,7.377,6.464,2.464,4.578
171,lower leaflet,1.819,6.284,2.790,4.208
172,lower leaflet,4.045,2.482,2.494,4.273
173,lower leaflet,7.628,3.499,2.469,4.704
174,lower leaflet,6.755,4.343,3.030,4.486
175,lower leaflet,2.574,1.870,2.246,4.087
176,lower leaflet,4.918,8.159,2.815,4.163
177,lower leaflet,5.715,8.372,3.112,4.377
178,lower leaflet,1.416,2.411,2.549,4.273
179,lower leaflet,5.383,1.276,2.625,4.390
180,lower leaflet,3.067,1.123,2.535,4.297
181,lower leaflet,8.189,3.111,2.541,4.587
182,lower leaflet,7.571,2.683,2.285,4.393
183,lower leaflet,9.694,5.891,2.678,4.112
184,lower leaflet,0.150,3.797,2.283,4.639
185,lower leaflet,1.748,8.117,2.838,4.614
186,lower leaflet,4.525,9.474,2.605,3.937
187,lower leaflet,4.250,8.916,2.508,3.835
188,lower leaflet,9.738,5.062,2.552,4.182
189,lower leaflet,4.668,1.188,2.828,3.968
190,lower leaflet,0.747,6.673,2.452,4.215
191,lower leaflet,7.348,1.823,2.701,4.289
192,lower leaflet,5.742,9.138,2.673,4.581
193,lower leaflet,1.800,7.596,2.677,4.413
194,lower leaflet,3.078,0.531,2.855,4.347
195,lower leaflet,0.027,2.069,2.189,4.274
196,lower leaflet,7.875,1.581,2.729,4.316
197,lower leaflet,0.937,2.108,1.989,4.506
198,lower leaflet,8.709,5.244,2.393,4.289
199,lower leaflet,5.327,0.131,2.698,4.406
200,lower leaflet,1.685,0.535,2.300,3.911
201,lower leaflet,3.222,9.792,2.551,4.354
202,lower leaflet,7.299,1.114,2.318,4.448
203,lower leaflet,8.448,1.374,2.534,4.381
204,lower leaflet,6.634,0.566,2.471,4.563
205,lower leaflet,0.698,8.446,3.048,4.575
206,lower leaflet,2.265,9.429,2.960,4.570
207,lower leaflet,7.754,0.754,2.540,4.606
208,lower leaflet,0.800,0.736,2.346,4.080
209,lower leaflet,8.992,7.247,2.944,4.581
210,lower leaflet,1.051,9.290,2.773,4.528
211,lower leaflet,8.682,8.854,2.916,4.420
212,lower leaflet,7.543,9.667,2.453,4.294
213,lower leaflet,0.489,9.103,3.001,4.311
214,lower leaflet,9.414,1.099,2.723,4.254
215,lower leaflet,0.199,9.661,2.633,4.100
216,lower leaflet,0.018,8.944,2.773,4.456
235,lower leaflet,2.055,4.460,2.379,4.438
236,lower leaflet,2.667,6.294,2.455,4.162
237,lower leaflet,2.391,2.887,2.086,4.021
238,lower leaflet,3.120,8.145,2.753,4.187
239,lower leaflet,7.008,4.462,2.359,4.520
240,lower leaflet,0.719,2.857,1.972,4.474
241,lower leaflet,8.267,7.483,2.558,4.679
242,lower leaflet,5.192,8.989,2.703,4.356
243,lower leaflet,8.536,6.615,2.793,4.453
244,lower leaflet,8.247,2.306,2.638,4.408
245,lower leaflet,1.612,1.080,2.114,4.222
246,lower leaflet,8.163,4.701,2.164,4.487
247,lower leaflet,5.754,0.698,2.769,4.382
248,lower leaflet,6.724,9.043,2.369,4.636
249,lower leaflet,0.040,2.800,2.301,4.433
250,lower leaflet,1.318,0.021,2.442,4.224
251,lower leaflet,0.255,8.110,2.928,4.545
252,lower leaflet,8.127,9.301,2.843,4.185
279,lower leaflet,4.709,5.573,2.317,4.559
280,lower leaflet,5.580,4.999,2.708,4.405
281,lower leaflet,4.231,4.008,2.344,4.332
282,lower leaflet,6.076,6.095,2.515,4.150
283,lower leaflet,5.304,7.187,2.443,4.276
284,lower leaflet,2.155,5.001,2.169,4.413
285,lower leaflet,6.286,7.098,2.426,4.375
286,lower leaflet,5.958,3.246,2.468,4.573
287,lower leaflet,7.067,3.776,2.626,4.614
288,lower leaflet,6.714,3.255,2.586,4.735
289,lower leaflet,6.051,2.189,2.455,4.270
290,lower leaflet,0.826,5.371,2.310,4.258
291,lower leaflet,1.219,2.896,2.229,4.282
292,lower leaflet,8.507,5.854,2.451,4.290
293,lower leaflet,8.726,3.758,2.268,5.044
294,lower leaflet,6.507,1.500,2.034,4.175
295,lower leaflet,7.449,4.968,2.415,4.480
296,lower leaflet,0.581,5.955,2.637,4.213
297,lower leaflet,9.003,3.112,2.115,4.537
298,lower leaflet,1.351,8.673,2.862,4.578
299,lower leaflet,0.555,7.225,2.785,4.183
300,lower leaflet,8.643,4.330,2.243,4.789
301,lower leaflet,2.386,0.794,2.211,4.341
302,lower leaflet,7.536,8.786,2.481,4.379
303,lower leaflet,6.489,9.549,2.234,4.465
304,lower leaflet,9.216,9.056,2.657,4.506
353,lower leaflet,5.404,5.535,2.976,4.413
354,lower leaflet,4.627,5.619,3.067,4.556
355,lower leaflet,6.308,5.200,3.237,4.378
356,lower leaflet,4.837,4.638,3.160,4.362
357,lower leaflet,3.005,3.922,2.703,4.362
358,lower leaflet,4.783,4.082,3.357,4.539
359,lower leaflet,3.981,3.748,3.101,4.259
360,lower leaflet,6.172,3.636,3.530,4.509
361,lower leaflet,6.576,3.938,3.451,4.541
362,lower leaflet,6.879,4.654,3.188,4.470
363,lower leaflet,6.306,2.919,3.225,4.665
364,lower leaflet,4.537,7.503,3.149,3.948
365,lower leaflet,3.882,7.861,3.394,3.987
366,lower leaflet,1.510,3.530,2.694,4.246
367,lower leaflet,7.773,6.649,3.106,4.550
368,lower leaflet,5.656,2.357,3.015,4.361
369,lower leaflet,6.634,7.209,2.891,4.561
370,lower leaflet,1.080,5.764,2.969,4.247
371,lower leaflet,7.545,5.637,3.042,4.537
372,lower leaflet,6.220,7.901,2.920,4.444
373,lower leaflet,2.318,7.373,3.049,4.345
374,lower leaflet,3.452,7.294,3.354,4.347
375,lower leaflet,1.218,3.209,2.727,4.266
376,lower leaflet,7.385,7.150,3.238,4.652
377,lower leaflet,4.666,1.693,3.304,4.355
378,lower leaflet,4.085,1.708,3.096,4.227
379,lower leaflet,1.049,6.422,3.274,4.194
380,lower leaflet,1.569,6.062,2.992,4.295
381,lower leaflet,6.037,8.558,3.154,4.464
382,lower leaflet,0.330,4.550,2.603,4.249
383,lower leaflet,1.552,7.182,3.333,4.187
384,lower leaflet,7.376,2.310,3.077,4.254
385,lower leaflet,6.544,8.415,3.087,4.551
386,lower leaflet,2.490,1.478,2.697,4.261
387,lower leaflet,1.419,1.881,2.852,4.193
388,lower leaflet,7.692,7.566,3.157,4.720
389,lower leaflet,0.739,5.364,2.988,4.287
390,lower leaflet,8.878,5.934,3.008,4.152
391,lower leaflet,7.984,2.094,2.818,4.384
392,lower leaflet,9.225,4.440,2.630,4.393
393,lower leaflet,7.271,0.454,2.707,4.499
394,lower leaflet,2.510,0.943,2.745,4.456
395,lower leaflet,9.096,7.050,3.442,4.359
396,lower leaflet,9.318,6.636,3.124,4.141
397,lower leaflet,6.337,0.582,3.159,4.392
398,lower leaflet,9.320,1.885,2.839,4.314
399,lower leaflet,9.276,1.424,2.812,4.366
400,lower leaflet,9.311,8.758,3.456,4.477
1,upper leaflet,5.771,4.515,7.622,4.346
2,upper leaflet,6.582,3.612,7.578,4.296
3,upper leaflet,7.415,3.825,7.344,4.582
4,upper leaflet,4.138,4.559,7.489,4.291
5,upper leaflet,6.697,2.172,7.145,4.499
6,upper leaflet,5.001,2.527,7.126,4.352
7,upper leaflet,3.589,5.725,7.323,4.420
8,upper leaflet,3.765,7.506,7.006,3.896
9,upper leaflet,5.701,2.078,7.204,4.307
10,upper leaflet,3.107,6.456,7.192,4.469
11,upper leaflet,4.734,7.722,6.989,4.323
12,upper leaflet,8.002,3.327,7.382,4.622
13,upper leaflet,5.554,7.237,7.142,4.576
14,upper leaflet,6.956,7.276,7.522,4.358
15,upper leaflet,2.261,3.450,6.833,4.611
16,upper leaflet,6.065,7.493,7.011,4.413
17,upper leaflet,9.642,2.915,7.029,4.624
18,upper leaflet,1.332,4.502,7.018,4.727
19,upper leaflet,8.996,6.167,7.059,4.473
20,upper leaflet,7.968,7.428,7.543,4.309
21,upper leaflet,3.937,9.130,6.625,4.022
22,upper leaflet,7.082,8.368,7.620,4.305
23,upper leaflet,3.622,0.586,6.966,4.277
24,upper leaflet,0.783,6.639,7.182,4.185
25,upper leaflet,3.679,0.011,6.763,4.315
26,upper leaflet,9.000,2.607,7.080,4.334
27,upper leaflet,1.621,7.430,7.400,4.283
28,upper leaflet,7.464,9.108,7.186,4.518
29,upper leaflet,6.238,9.169,7.337,4.259
30,upper leaflet,2.971,0.595,6.899,4.290
31,upper leaflet,2.957,9.585,7.094,4.353
32,upper leaflet,9.147,7.960,7.708,4.446
33,upper leaflet,9.211,9.522,7.343,4.223
34,upper leaflet,8.745,0.326,7.302,4.349
35,upper leaflet,9.192,1.084,7.167,4.277
36,upper leaflet,1.265,8.961,7.505,4.320
37,upper leaflet,0.719,1.719,6.692,4.439
38,upper leaflet,0.354,8.407,7.416,4.556
77,upper leaflet,5.567,3.812,7.654,4.426
78,upper leaflet,6.615,4.439,7.074,4.325
79,upper leaflet,4.718,4.607,7.014,4.351
80,upper leaflet,5.466,3.250,7.489,4.603
