-0.0047	0.0607	0.0666	-0.0086	-0.0030	-0.0022	-0.0030	-0.0002	3.8590	-0.0025	-0.0017	0.0031	-0.0275	0.0020	-0.0358	-0.0007	-0.0016	0.3279	0.0652	-0.0207	-0.0043	-13.6294	-0.0045	-0.0606	-0.2780
-0.0441	-0.0039	-0.2783	-0.0090	-0.0037	-0.0003	0.0172	0.0013	10.0931	-0.0022	-0.0012	0.0001	0.0294	-0.0032	-0.0349	-0.0006	-0.0014	-0.1093	0.0456	-0.0119	-0.0033	-13.0868	-0.0260	-0.6904	-0.0302
-0.0405	-0.0680	0.0559	-0.0096	-0.0041	-0.0034	-0.0091	0.0039	-0.3952	-0.0089	-0.0021	-0.0002	0.2126	-0.0016	-0.0510	-0.0006	-0.0005	0.0139	0.0155	-0.0097	-0.0025	-2.5223	-0.0216	-0.1114	-0.0219
-0.0084	-0.1321	0.0679	-0.0119	-0.0018	-0.0007	0.0012	0.0019	4.7653	-0.0036	-0.0005	0.0016	0.0796	-0.0045	-0.0474	-0.0006	-0.0017	-0.0874	0.2081	-0.0103	-0.0033	-3.0605	-0.0477	-0.0592	-0.0520
-0.0417	-0.0036	0.0364	-0.0220	-0.0034	-0.0004	0.0101	0.0020	-0.7939	-0.0063	-0.0008	-0.0001	0.1596	-0.0045	-0.0537	-0.0006	-0.0008	1.1839	0.0620	-0.0057	-0.0034	-0.6706	-0.0125	-0.2237	-0.0998
-0.0689	-0.0071	-0.4249	-0.0097	-0.0043	-0.0004	0.0192	0.0011	0.6403	-0.0026	-0.0026	-0.0011	0.0120	0.0092	-0.0248	-0.0004	0.0044	-0.0923	0.0515	-0.0146	-0.0100	-0.0020	-0.0089	-0.0152	-0.0132
-0.0940	-0.0131	-0.0158	-0.0063	-0.0018	-0.0006	0.0169	0.0035	17.8086	-0.0026	-0.0011	-0.0006	0.1529	-0.0395	-0.0159	-0.0007	-0.0014	0.0240	-0.0011	-0.2301	-0.0033	-55.9194	-0.0032	-0.8531	-0.0049
-0.0558	-0.0335	-0.0008	-0.0094	-0.0036	-0.0019	0.0087	0.0010	0.1185	-0.0063	-0.0006	0.0021	0.0392	0.0731	-0.0269	-0.0009	-0.0040	-0.0624	-0.0104	-0.1390	-0.0032	-1.3594	0.0464	0.4313	0.0009
-0.0572	-0.3796	0.0055	-0.0105	-0.0020	-0.0052	0.0036	0.0096	0.4542	-0.0058	-0.0008	0.0055	0.0056	-0.0006	-0.0239	-0.0009	-0.0046	-0.1712	0.2651	-0.0043	-0.0041	-0.0932	-0.0099	-0.0089	-0.0382
-0.2777	-0.0030	-0.0452	-0.0072	-0.0012	-0.0007	0.0692	0.0022	7.6368	-0.0060	-0.0006	0.0018	-0.0125	-0.0028	-0.0359	-0.0008	-0.0030	-0.0994	0.0346	-0.0012	-0.0038	-0.3026	-0.1424	-0.0047	-0.0234
