-0.2825	-0.1248	0.2850	0.4225	0.0988	-0.1604	-0.1595	-0.1011	0.0546	0.1633	0.1267	-0.0870	-0.1827
-0.0234	-0.0907	0.3085	0.3903	-0.0408	-0.2395	-0.0049	0.1472	-0.0056	-0.5064	0.0067	-0.0268	-0.0343
0.2602	0.3253	0.0170	0.0318	-0.0508	0.1742	0.2326	0.1269	-0.0370	-0.1046	-0.0349	0.1262	0.2975
0.3508	0.2159	-0.0403	-0.3557	0.1431	0.3592	0.1031	0.0394	-0.0172	0.2520	0.0031	-0.1104	0.1143
0.0366	0.0878	-0.0883	0.0402	-0.0890	-0.1358	-0.0594	0.0645	0.0160	0.1008	0.0071	-0.3144	-0.1111
0.2531	0.0646	-0.0990	0.0857	-0.2302	-0.2600	-0.2164	-0.0343	-0.0124	-0.0112	0.1082	-0.0776	0.0713
-0.0393	-0.2964	-0.1165	-0.0564	-0.1834	-0.1733	-0.1389	-0.1327	0.0229	0.1065	0.1626	0.1798	-0.1001
-0.2344	-0.2638	-0.0261	0.0485	-0.0202	-0.1147	-0.1037	-0.0352	0.0140	0.1591	0.0807	0.1165	0.0137
0.1184	-0.0879	-0.0494	-0.0205	0.0663	-0.0492	-0.0047	0.0751	-0.0525	0.1554	-0.0197	0.0865	0.3115
0.6003	0.5463	0.0481	-0.0517	-0.1713	0.1545	0.1805	-0.1072	-0.1664	0.1526	0.2055	0.0313	0.1549
0.0403	-0.0365	0.2808	0.2335	0.1374	0.1807	0.1370	0.1287	0.0804	0.1225	-0.1033	0.0267	0.0036
-0.1411	-0.1107	0.1377	0.4486	0.2213	-0.0902	-0.0545	0.1681	0.3788	-0.0462	-0.2521	-0.1668	-0.1779
-0.3542	-0.1955	0.0511	0.6731	0.1338	-0.2939	-0.1350	-0.0618	0.0380	0.5105	0.1135	-0.1983	-0.3087
