0.0318	0.1507	0.1550	0.0465	-0.0391	-0.2306	-0.0817	-0.1318	-0.0439	-0.0269	-0.1703	-0.1384	-0.0443
0.0051	0.0887	0.2269	0.1307	-0.0667	-0.1976	0.3316	0.1278	-0.0617	-0.0620	-0.0107	0.1867	-0.0472
0.0064	0.1090	0.0689	0.1158	0.0388	0.1504	0.1075	0.2274	-0.0187	0.0201	-0.0720	0.0716	0.0219
0.0095	0.0869	0.0143	-0.0627	0.2163	0.3200	0.0219	0.0699	0.0863	0.1036	-0.0005	-0.1343	0.0015
-0.0081	-0.0348	-0.0936	-0.0758	-0.0204	-0.0411	-0.2248	0.0083	0.0730	-0.0122	0.1884	0.0015	-0.1376
0.0738	-0.1015	-0.1622	-0.0633	-0.2883	-0.2696	-0.2524	-0.0362	0.1644	0.1941	-0.0591	-0.0186	-0.0556
-0.1124	-0.1442	-0.1680	0.0899	-0.0044	-0.1803	-0.1266	-0.0813	-0.0820	0.0997	-0.0143	-0.2008	-0.1493
-0.1239	-0.3339	-0.0877	0.1625	0.1008	-0.1256	0.1339	-0.0950	-0.2121	0.0139	0.1238	0.1344	-0.0301
-0.0171	-0.1143	-0.1254	0.0340	-0.0622	-0.0594	0.0953	0.0927	-0.0567	-0.1080	0.2235	0.2721	-0.0805
0.0497	0.2800	-0.0062	-0.1864	0.1237	0.1783	0.0738	0.0748	0.1365	0.1187	0.1713	-0.0601	-0.0702
-0.0208	-0.1518	0.0289	0.0516	0.1146	0.1657	0.0759	0.0980	0.0532	-0.0064	-0.0442	-0.0096	0.0102
-0.2202	-0.2054	0.1054	0.3556	-0.0481	-0.1242	-0.1788	-0.0528	0.0949	0.0153	-0.1424	-0.1258	-0.0101
-0.1563	-0.0015	0.1103	0.2527	-0.0481	-0.2784	-0.1130	-0.0848	0.0326	-0.0286	-0.1010	-0.0832	-0.0468
