resid,leaflet,X coords,Y coords,Z coords,Area per lipid
39,lower leaflet,5.927,4.656,2.877,0.446
40,lower leaflet,6.704,5.091,2.275,0.444
41,lower leaflet,2.816,5.298,2.288,0.600
42,lower leaflet,2.970,5.918,2.528,0.577
43,lower leaflet,6.238,3.574,2.777,0.346
44,lower leaflet,2.380,3.367,2.210,0.548
45,lower leaflet,4.899,2.569,2.574,0.487
46,lower leaflet,5.283,7.673,2.569,0.455
47,lower leaflet,2.785,2.690,1.788,0.547
48,lower leaflet,0.694,4.612,1.945,0.431
49,lower leaflet,1.639,6.809,3.020,0.499
50,lower leaflet,6.389,2.567,2.760,0.348
51,lower leaflet,6.768,2.175,2.435,0.364
52,lower leaflet,7.728,6.463,2.445,0.362
53,lower leaflet,1.733,1.717,2.221,0.482
54,lower leaflet,3.780,8.104,2.568,0.643
55,lower leaflet,6.972,7.212,2.859,0.385
56,lower leaflet,2.914,8.715,2.775,0.658
57,lower leaflet,9.751,4.365,2.353,0.400
58,lower leaflet,4.378,0.826,2.838,0.531
59,lower leaflet,3.976,0.635,2.509,0.578
60,lower leaflet,7.146,7.808,2.842,0.434
61,lower leaflet,2.267,8.686,2.804,0.627
62,lower leaflet,9.254,5.892,2.373,0.408
63,lower leaflet,9.573,3.303,2.408,0.464
64,lower leaflet,4.783,0.342,2.656,0.546
65,lower leaflet,3.637,9.407,2.367,0.657
66,lower leaflet,8.115,8.498,2.879,0.526
67,lower leaflet,9.339,6.875,2.403,0.494
68,lower leaflet,7.634,8.075,2.848,0.467
69,lower leaflet,0.758,7.841,2.985,0.552
70,lower leaflet,8.936,2.304,2.558,0.594
71,lower leaflet,0.087,1.338,2.443,0.598
72,lower leaflet,8.900,8.253,2.961,0.555
73,lower leaflet,9.262,7.761,2.694,0.553
74,lower leaflet,8.982,0.875,2.683,0.618
75,lower leaflet,8.687,9.699,2.707,0.621
76,lower leaflet,9.554,0.226,2.942,0.629
147,lower leaflet,4.216,4.706,2.621,0.555
148,lower leaflet,3.494,4.386,2.304,0.559
149,lower leaflet,5.675,5.692,2.634,0.472
150,lower leaflet,3.792,5.415,2.793,0.582
151,lower leaflet,2.898,4.444,2.317,0.548
152,lower leaflet,5.171,4.272,2.901,0.528
153,lower leaflet,4.696,6.056,2.696,0.538
154,lower leaflet,4.010,6.005,2.647,0.575
155,lower leaflet,5.166,3.295,2.811,0.543
156,lower leaflet,3.883,7.272,2.782,0.575
157,lower leaflet,4.640,6.583,2.419,0.544
158,lower leaflet,3.457,6.672,2.628,0.580
159,lower leaflet,6.744,6.804,2.366,0.401
160,lower leaflet,3.438,3.455,2.183,0.549
161,lower leaflet,1.822,3.935,2.327,0.563
162,lower leaflet,4.244,3.338,2.779,0.543
163,lower leaflet,1.857,5.826,2.437,0.460
164,lower leaflet,7.225,5.764,2.158,0.445
165,lower leaflet,5.820,7.412,2.729,0.450
166,lower leaflet,3.607,2.824,2.194,0.552
